rater,leaf,actual,UNexp,LINexp
1,1,70.48,65,70
1,2,96.07,75,80
1,3,99.96,80,90
1,4,72.45,60,65
1,5,97.39,80,95
1,6,88.68,83,85
1,7,91.03,83,85
1,8,19.79,30,20
1,9,25.16,30,20
1,10,90.59,70,85
1,11,9.1,20,10
1,12,36.99,45,30
1,13,10.93,25,19
1,14,99.64,90,100
1,15,26.73,30,25
1,16,87.96,80,90
1,17,6.05,15,5
1,18,87.32,80,85
1,19,12.18,20,15
1,20,96.43,90,90
1,21,9.62,20,14
1,22,10.41,25,15
1,23,5.39,10,10
1,24,5.62,10,10
1,25,12.37,30,15
1,26,4.42,10,5
1,27,29.76,35,25
1,28,29.76,30,25
1,29,10.76,30,15
1,30,69.39,75,50
1,31,10.4,20,9
1,32,91.06,100,90
1,33,4.97,10,5
1,34,99.67,100,100
1,35,87.17,90,85
1,36,20.26,40,20
1,37,5.35,10,5
1,38,50.87,60,50
1,39,67.24,80,60
1,40,9.67,20,15
1,41,7.08,10,10
1,42,3.84,10,5
1,43,9.56,10,10
1,44,61.34,70,65
1,45,85.5,90,75
1,46,39.09,50,30
1,47,42.38,60,40
1,48,15.65,25,20
1,49,51.85,70,50
1,50,60.9,85,50
2,1,70.48,15,72
2,2,96.07,25,90
2,3,99.96,25,90
2,4,72.45,10,60
2,5,97.39,30,80
2,6,88.68,28,78
2,7,91.03,35,80
2,8,19.79,20,28
2,9,25.16,20,28
2,10,90.59,50,80
2,11,9.1,10,10
2,12,36.99,20,25
2,13,10.93,17,15
2,14,99.64,80,90
2,15,26.73,40,30
2,16,87.96,40,60
2,17,6.05,15,10
2,18,87.32,90,80
2,19,12.18,20,15
2,20,96.43,60,80
2,21,9.62,35,10
2,22,10.41,25,10
2,23,5.39,25,10
2,24,5.62,25,10
2,25,12.37,38,20
2,26,4.42,15,10
2,27,29.76,45,45
2,28,29.76,35,35
2,29,10.76,15,15
2,30,69.39,80,70
2,31,10.4,30,15
2,32,91.06,65,80
2,33,4.97,30,10
2,34,99.67,99,97
2,35,87.17,60,79
2,36,20.26,49,40
2,37,5.35,12,3
2,38,50.87,75,70
