rater,leaf,actual,UN,AID
1,1,70.48,50,63
1,2,96.07,50,92
1,3,99.96,70,90
1,4,72.45,30,68
1,5,97.39,60,85
1,6,88.68,60,75
1,7,91.03,75,85
1,8,19.79,30,20
1,9,25.16,50,18
1,10,90.59,60,86
1,11,9.1,20,8
1,12,36.99,60,25
1,13,10.93,30,6
1,14,99.64,70,97
1,15,26.73,40,25
1,16,87.96,60,75
1,17,6.05,5,9
1,18,87.32,40,85
1,19,12.18,40,8
1,20,96.43,60,90
1,21,9.62,20,10
1,22,10.41,20,8
1,23,5.39,30,7
1,24,5.62,30,7
1,25,12.37,20,15
1,26,4.42,10,9
1,27,29.76,55,35
1,28,29.76,40,25
1,29,10.76,50,12
1,30,69.39,40,50
1,31,10.4,20,5
1,32,91.06,60,85
1,33,4.97,20,9
1,34,99.67,70,84
1,35,87.17,100,78
1,36,20.26,40,25
1,37,5.35,20,8
1,38,50.87,80,40
1,39,67.24,90,60
1,40,9.67,20,15
1,41,7.08,20,8
1,42,3.84,20,8
1,43,9.56,30,12
1,44,61.34,80,65
1,45,85.5,100,85
1,46,39.09,60,35
1,47,42.38,60,38
1,48,15.65,30,16
1,49,51.85,70,40
1,50,60.9,30,50
2,1,70.48,90,75
2,2,96.07,70,97.3
2,3,99.96,50,97.3
2,4,72.45,40,70.5
2,5,97.39,40,97.3
2,6,88.68,20,76
2,7,91.03,50,76
2,8,19.79,60,9.6
2,9,25.16,40,9.5
2,10,90.59,40,90
2,11,9.1,30,9
2,12,36.99,70,24
2,13,10.93,50,7
2,14,99.64,40,97
2,15,26.73,60,24
2,16,87.96,40,96.5
2,17,6.05,10,4.5
2,18,87.32,60,97
2,19,12.18,10,7
2,20,96.43,40,88
2,21,9.62,10,5.5
2,22,10.41,10,8.5
2,23,5.39,10,3
2,24,5.62,10,3.5
2,25,12.37,20,8.1
2,26,4.42,5,3.5
2,27,29.76,30,15
2,28,29.76,20,35
2,29,10.76,30,6
2,30,69.39,20,75
2,31,10.4,5,8.5
2,32,91.06,20,97
2,33,4.97,5,3.5
2,34,99.67,60,99
2,35,87.17,80,96
2,36,20.26,50,15
2,37,5.35,30,3.5
2,38,50.87,100,50
2,39,67.24,60,60
2,40,9.67,30,10
2,41,7.08,10,5
2,42,3.84,10,2
2,43,9.56,10,10
2,44,61.34,60,58
2,45,85.5,60,80
2,46,39.09,50,45
2,47,42.38,40,50
2,48,15.65,10,15
2,49,51.85,60,50
2,50,60.9,80,55
3,1,70.48,60,76.5
3,2,96.07,100,97.3
3,3,99.96,30,90
3,4,72.45,60,70
3,5,97.39,30,88
3,6,88.68,40,80
3,7,91.03,40,90
3,8,19.79,20,25
3,9,25.16,10,20
3,10,90.59,20,95
3,11,9.1,40,10
3,12,36.99,20,25
3,13,10.93,40,15
3,14,99.64,30,97.3
3,15,26.73,20,25
3,16,87.96,30,80
3,17,6.05,30,5
3,18,87.32,50,80
3,19,12.18,5,15
3,20,96.43,50,100
3,21,9.62,5,10
3,22,10.41,50,10
3,23,5.39,30,5
3,24,5.62,20,5
3,25,12.37,10,10
3,26,4.42,30,5
3,27,29.76,40,30
3,28,29.76,30,30
3,29,10.76,20,10
3,30,69.39,30,65
3,31,10.4,10,8
3,32,91.06,50,80
3,33,4.97,10,5
3,34,99.67,40,100
3,35,87.17,60,100
3,36,20.26,30,20
3,37,5.35,10,5
3,38,50.87,90,50
3,39,67.24,70,60
3,40,9.67,40,10
3,41,7.08,20,10
3,42,3.84,20,5
3,43,9.56,30,10
3,44,61.34,70,55
3,45,85.5,70,80
3,46,39.09,30,40
3,47,42.38,30,45
3,48,15.65,30,25
3,49,51.85,30,50
3,50,60.9,70,55
4,1,70.48,40,72
4,2,96.07,40,97
4,3,99.96,80,100
4,4,72.45,70,70
4,5,97.39,80,97
4,6,88.68,30,96
4,7,91.03,30,98
4,8,19.79,40,16
4,9,25.16,5,18
4,10,90.59,30,75
4,11,9.1,50,8
4,12,36.99,10,40
4,13,10.93,20,12
